,cat,dataset,path
293,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2052/chars/recognized_1_782_357_12_30.jpg
294,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2052/chars/recognized_2_783_393_12_30.jpg
295,X,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2052/chars/recognized_X_782_204_12_30.jpg
296,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2052/chars/recognized_1_782_320_12_30.jpg
297,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2056/chars/recognized_1_728_359_11_29.jpg
298,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2056/chars/recognized_0_732_499_11_29.jpg
299,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2056/chars/recognized_U_727_279_12_29.jpg
300,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2056/chars/recognized_0_730_429_10_29.jpg
301,N,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2056/chars/recognized_N_728_244_11_30.jpg
302,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2056/chars/recognized_3_731_464_10_29.jpg
303,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2056/chars/recognized_0_734_546_11_27.jpg
304,X,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2056/chars/recognized_X_728_210_11_29.jpg
305,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2056/chars/recognized_2_729_394_10_29.jpg
306,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2056/chars/recognized_1_728_324_11_29.jpg
307,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2056/chars/recognized_C_728_177_11_28.jpg
308,N,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2016/chars/recognized_N_1485_251_14_34.jpg
309,X,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2016/chars/recognized_X_1485_213_14_34.jpg
310,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2016/chars/recognized_0_1465_588_13_30.jpg
311,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2016/chars/recognized_1_1485_341_12_33.jpg
312,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2016/chars/recognized_0_1477_458_14_33.jpg
313,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2016/chars/recognized_1_1483_380_13_33.jpg
314,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2016/chars/recognized_C_1484_176_14_32.jpg
315,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2016/chars/recognized_0_1470_536_14_32.jpg
316,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2016/chars/recognized_U_1485_290_14_33.jpg
317,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2016/chars/recognized_3_1474_497_13_33.jpg
318,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2016/chars/recognized_2_1479_419_15_34.jpg
319,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2041/chars/recognized_U_920_268_14_32.jpg
320,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2041/chars/recognized_C_921_158_14_30.jpg
321,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2041/chars/recognized_0_921_555_12_30.jpg
322,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2041/chars/recognized_1_921_354_12_32.jpg
323,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2041/chars/recognized_3_921_468_12_32.jpg
324,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2041/chars/recognized_0_920_431_13_31.jpg
325,N,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2041/chars/recognized_N_921_231_13_31.jpg
326,X,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2041/chars/recognized_X_920_194_15_31.jpg
327,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2041/chars/recognized_2_920_392_13_32.jpg
328,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2041/chars/recognized_1_921_316_12_32.jpg
329,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2041/chars/recognized_0_920_506_13_31.jpg
330,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2018/chars/recognized_0_1428_533_14_32.jpg
331,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2018/chars/recognized_C_1442_171_13_31.jpg
332,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2018/chars/recognized_0_1423_584_14_31.jpg
333,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2018/chars/recognized_1_1442_336_13_34.jpg
334,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2018/chars/recognized_2_1437_415_15_34.jpg
335,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2018/chars/recognized_0_1435_454_14_34.jpg
336,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2018/chars/recognized_1_1441_376_12_33.jpg
337,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2018/chars/recognized_3_1431_494_14_32.jpg
338,N,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2018/chars/recognized_N_1442_246_15_34.jpg
339,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2018/chars/recognized_U_1442_285_14_33.jpg
340,X,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2018/chars/recognized_X_1442_208_14_33.jpg
341,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2029/chars/recognized_1_1191_319_13_33.jpg
342,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2029/chars/recognized_3_1185_478_14_34.jpg
343,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2029/chars/recognized_0_1187_439_14_33.jpg
344,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2029/chars/recognized_C_1191_152_14_32.jpg
345,X,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2029/chars/recognized_X_1191_190_15_33.jpg
346,N,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2029/chars/recognized_N_1191_229_15_33.jpg
347,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2029/chars/recognized_U_1191_268_15_33.jpg
348,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2029/chars/recognized_0_1183_518_15_32.jpg
349,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2029/chars/recognized_0_1181_570_14_31.jpg
350,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2029/chars/recognized_1_1191_359_13_34.jpg
351,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2029/chars/recognized_2_1188_399_15_34.jpg
352,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2022/chars/recognized_1_1376_329_13_34.jpg
353,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2022/chars/recognized_0_1369_448_14_34.jpg
354,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2022/chars/recognized_C_1375_163_15_31.jpg
355,X,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2022/chars/recognized_X_1376_200_14_34.jpg
356,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2022/chars/recognized_3_1366_488_14_33.jpg
357,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2022/chars/recognized_U_1376_278_14_34.jpg
358,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2022/chars/recognized_0_1359_579_14_31.jpg
359,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2022/chars/recognized_2_1371_409_15_34.jpg
360,N,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2022/chars/recognized_N_1376_239_15_34.jpg
361,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2022/chars/recognized_1_1375_369_13_33.jpg
362,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2022/chars/recognized_0_1363_528_15_32.jpg
363,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2050/chars/recognized_0_821_429_12_30.jpg
364,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2050/chars/recognized_1_821_356_11_30.jpg
365,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2050/chars/recognized_1_820_319_12_30.jpg
366,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2050/chars/recognized_3_822_465_11_30.jpg
367,X,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2050/chars/recognized_X_820_200_12_31.jpg
368,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2050/chars/recognized_U_820_273_12_30.jpg
369,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2050/chars/recognized_2_821_392_12_31.jpg
370,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2050/chars/recognized_C_820_166_13_29.jpg
371,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2050/chars/recognized_0_822_502_12_29.jpg
372,N,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2050/chars/recognized_N_820_236_12_31.jpg
373,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2050/chars/recognized_0_824_550_11_28.jpg
374,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2045/chars/recognized_U_879_269_13_31.jpg
375,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2045/chars/recognized_0_881_553_12_29.jpg
376,X,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2045/chars/recognized_X_879_196_14_31.jpg
377,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2045/chars/recognized_1_880_318_12_30.jpg
378,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2045/chars/recognized_2_880_392_12_32.jpg
379,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2045/chars/recognized_0_880_504_13_31.jpg
380,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2045/chars/recognized_1_880_354_12_32.jpg
381,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2045/chars/recognized_C_880_161_13_29.jpg
382,N,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2045/chars/recognized_N_879_233_14_31.jpg
383,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2045/chars/recognized_0_880_430_12_31.jpg
384,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2045/chars/recognized_3_880_467_12_31.jpg
385,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2014/chars/recognized_0_1519_462_13_33.jpg
386,N,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2014/chars/recognized_N_1527_256_14_34.jpg
387,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2014/chars/recognized_3_1515_501_13_32.jpg
388,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2014/chars/recognized_1_1526_384_11_33.jpg
389,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2014/chars/recognized_0_1505_590_14_31.jpg
390,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2014/chars/recognized_C_1526_182_13_31.jpg
391,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2014/chars/recognized_1_1527_346_12_32.jpg
392,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2014/chars/recognized_2_1521_423_14_33.jpg
393,X,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2014/chars/recognized_X_1528_218_13_33.jpg
394,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2014/chars/recognized_0_1511_539_14_32.jpg
395,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/35/frames/2014/chars/recognized_U_1527_295_13_33.jpg
396,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/661/chars/recognized_9_1152_144_30_59.jpg
397,I,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/661/chars/recognized_I_938_132_15_61.jpg
398,5,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/661/chars/recognized_5_1407_170_23_60.jpg
399,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/661/chars/recognized_9_1320_162_29_58.jpg
400,8,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/661/chars/recognized_8_1198_146_29_60.jpg
401,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/661/chars/recognized_U_1018_133_41_62.jpg
402,8,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/661/chars/recognized_8_1243_149_29_60.jpg
403,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/661/chars/recognized_2_1109_139_29_62.jpg
404,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/661/chars/recognized_7_1284_153_27_60.jpg
405,Z,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/661/chars/recognized_Z_876_130_47_63.jpg
406,M,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/661/chars/recognized_M_966_134_51_62.jpg
407,M,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/662/chars/recognized_M_871_137_50_62.jpg
408,5,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/662/chars/recognized_5_1323_161_26_60.jpg
409,Z,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/662/chars/recognized_Z_780_136_46_64.jpg
410,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/662/chars/recognized_9_1057_141_31_60.jpg
411,8,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/662/chars/recognized_8_1104_142_29_61.jpg
412,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/662/chars/recognized_2_1012_138_31_62.jpg
413,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/662/chars/recognized_7_1195_147_26_61.jpg
414,8,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/662/chars/recognized_8_1149_144_31_60.jpg
415,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/662/chars/recognized_9_1234_155_28_58.jpg
416,I,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/662/chars/recognized_I_842_137_16_61.jpg
417,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/18/frames/662/chars/recognized_U_922_135_39_62.jpg
418,5,lot2,/home/gopik/github/cnn/data/lot2/outputs/40/frames/225/chars/recognized_5_1728_388_10_37.jpg
419,H,lot2,/home/gopik/github/cnn/data/lot2/outputs/40/frames/225/chars/recognized_H_1732_179_10_35.jpg
420,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/40/frames/225/chars/recognized_3_1731_349_9_36.jpg
421,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/40/frames/225/chars/recognized_0_1708_554_11_36.jpg
422,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/40/frames/225/chars/recognized_U_1733_295_9_36.jpg
423,4,lot2,/home/gopik/github/cnn/data/lot2/outputs/40/frames/225/chars/recognized_4_1724_429_10_36.jpg
424,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/40/frames/225/chars/recognized_0_1696_602_14_40.jpg
425,X,lot2,/home/gopik/github/cnn/data/lot2/outputs/40/frames/225/chars/recognized_X_1733_256_10_36.jpg
426,L,lot2,/home/gopik/github/cnn/data/lot2/outputs/40/frames/225/chars/recognized_L_1732_217_13_36.jpg
427,4,lot2,/home/gopik/github/cnn/data/lot2/outputs/40/frames/225/chars/recognized_4_1719_476_10_37.jpg
428,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/40/frames/225/chars/recognized_0_1713_515_11_36.jpg
429,0,lot2,/home/gopik/github/cnn/data/lot2/outputs/12/frames/482/chars/recognized_0_559_791_19_44.jpg
430,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/12/frames/482/chars/recognized_1_549_436_9_53.jpg
431,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/12/frames/482/chars/recognized_U_543_354_23_54.jpg
432,4,lot2,/home/gopik/github/cnn/data/lot2/outputs/12/frames/482/chars/recognized_4_549_665_20_49.jpg
433,A,lot2,/home/gopik/github/cnn/data/lot2/outputs/12/frames/482/chars/recognized_A_542_295_26_55.jpg
434,5,lot2,/home/gopik/github/cnn/data/lot2/outputs/12/frames/482/chars/recognized_5_547_608_18_52.jpg
435,8,lot2,/home/gopik/github/cnn/data/lot2/outputs/12/frames/482/chars/recognized_8_553_718_19_48.jpg
436,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/12/frames/482/chars/recognized_C_551_178_23_52.jpg
437,4,lot2,/home/gopik/github/cnn/data/lot2/outputs/12/frames/482/chars/recognized_4_542_495_22_53.jpg
438,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/12/frames/482/chars/recognized_7_545_552_18_52.jpg
439,M,lot2,/home/gopik/github/cnn/data/lot2/outputs/12/frames/482/chars/recognized_M_546_235_26_55.jpg
440,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/5/chars/recognized_6_538_608_18_48.jpg
441,K,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/5/chars/recognized_K_532_344_21_54.jpg
442,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/5/chars/recognized_6_546_723_18_44.jpg
443,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/5/chars/recognized_1_538_486_10_51.jpg
444,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/5/chars/recognized_6_560_843_17_39.jpg
445,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/5/chars/recognized_U_531_408_21_53.jpg
446,T,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/5/chars/recognized_T_544_218_18_54.jpg
447,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/5/chars/recognized_7_534_547_18_51.jpg
448,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/5/chars/recognized_7_548_774_18_43.jpg
449,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/5/chars/recognized_2_540_664_20_48.jpg
450,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/5/chars/recognized_C_536_280_21_56.jpg
451,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/3/chars/recognized_6_948_740_25_50.jpg
452,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/3/chars/recognized_C_987_252_30_61.jpg
453,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/3/chars/recognized_U_972_392_32_60.jpg
454,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/3/chars/recognized_7_964_548_27_56.jpg
455,K,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/3/chars/recognized_K_978_322_32_60.jpg
456,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/3/chars/recognized_6_933_866_37_52.jpg
457,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/3/chars/recognized_6_957_615_27_54.jpg
458,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/3/chars/recognized_1_977_480_14_57.jpg
459,T,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/3/chars/recognized_T_1000_185_24_57.jpg
460,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/3/chars/recognized_2_952_677_26_53.jpg
461,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/3/chars/recognized_7_946_797_24_47.jpg
462,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/2/chars/recognized_6_1017_867_40_52.jpg
463,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/2/chars/recognized_7_1062_548_26_56.jpg
464,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/2/chars/recognized_6_1038_741_26_49.jpg
465,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/2/chars/recognized_U_1072_393_32_59.jpg
466,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/2/chars/recognized_C_1088_253_31_61.jpg
467,K,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/2/chars/recognized_K_1078_322_34_61.jpg
468,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/2/chars/recognized_6_1051_615_28_54.jpg
469,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/2/chars/recognized_1_1075_480_15_57.jpg
470,T,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/2/chars/recognized_T_1100_185_25_58.jpg
471,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/2/chars/recognized_2_1043_678_29_52.jpg
472,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/2/chars/recognized_7_1035_798_24_47.jpg
473,2,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/4/chars/recognized_2_861_676_25_53.jpg
474,K,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/4/chars/recognized_K_880_325_31_59.jpg
475,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/4/chars/recognized_7_858_795_23_47.jpg
476,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/4/chars/recognized_6_851_863_34_51.jpg
477,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/4/chars/recognized_C_887_254_30_61.jpg
478,T,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/4/chars/recognized_T_899_188_25_58.jpg
479,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/4/chars/recognized_U_875_394_29_59.jpg
480,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/4/chars/recognized_6_860_739_22_48.jpg
481,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/4/chars/recognized_1_881_480_12_58.jpg
482,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/4/chars/recognized_7_869_548_26_55.jpg
483,6,lot2,/home/gopik/github/cnn/data/lot2/outputs/01/frames/4/chars/recognized_6_864_614_24_54.jpg
484,A,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/91/chars/recognized_A_1344_244_27_54.jpg
485,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/91/chars/recognized_3_1325_448_25_53.jpg
486,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/91/chars/recognized_U_1335_371_26_54.jpg
487,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/91/chars/recognized_7_1320_511_24_53.jpg
488,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/91/chars/recognized_9_1307_575_26_49.jpg
489,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/91/chars/recognized_1_1305_636_15_50.jpg
490,I,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/91/chars/recognized_I_1348_308_12_53.jpg
491,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/91/chars/recognized_9_1276_754_25_45.jpg
492,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/91/chars/recognized_C_1352_183_22_51.jpg
493,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/91/chars/recognized_1_1295_696_14_48.jpg
494,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/91/chars/recognized_1_1270_824_14_43.jpg
495,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/93/chars/recognized_3_663_438_18_50.jpg
496,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/93/chars/recognized_9_666_726_18_42.jpg
497,I,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/93/chars/recognized_I_673_304_9_52.jpg
498,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/93/chars/recognized_1_675_792_10_40.jpg
499,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/93/chars/recognized_9_662_557_19_47.jpg
500,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/93/chars/recognized_7_662_497_19_50.jpg
501,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/93/chars/recognized_U_665_365_20_51.jpg
502,A,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/93/chars/recognized_A_668_244_24_52.jpg
503,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/93/chars/recognized_1_669_671_10_45.jpg
504,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/93/chars/recognized_C_676_185_20_49.jpg
505,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/93/chars/recognized_1_667_615_10_46.jpg
506,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/92/chars/recognized_1_1227_633_13_51.jpg
507,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/92/chars/recognized_7_1240_507_24_53.jpg
508,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/92/chars/recognized_9_1200_752_25_44.jpg
509,3,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/92/chars/recognized_3_1244_443_26_54.jpg
510,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/92/chars/recognized_U_1254_366_26_55.jpg
511,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/92/chars/recognized_1_1218_693_14_49.jpg
512,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/92/chars/recognized_C_1272_176_22_52.jpg
513,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/92/chars/recognized_1_1197_823_13_42.jpg
514,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/92/chars/recognized_9_1228_571_26_51.jpg
515,A,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/92/chars/recognized_A_1262_238_29_54.jpg
516,I,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/92/chars/recognized_I_1267_302_13_54.jpg
517,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/88/chars/recognized_9_1605_753_22_41.jpg
518,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/88/chars/recognized_1_1625_700_14_44.jpg
519,A,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/88/chars/recognized_A_1683_296_18_48.jpg
520,C,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/88/chars/recognized_C_1689_241_14_46.jpg
521,7,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/88/chars/recognized_7_1658_534_19_46.jpg
522,9,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/88/chars/recognized_9_1644_590_21_45.jpg
523,U,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/88/chars/recognized_U_1675_408_19_49.jpg
524,I,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/88/chars/recognized_I_1685_352_9_48.jpg
525,1,lot2,/home/gopik/github/cnn/data/lot2/outputs/03/frames/88/chars/recognized_1_1638_646_14_44.jpg
